Kind,Name,CountClassCoupled,PercentLackOfCohesion,CountClassBase,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountOutput,MaxInheritanceTree
Function,"AdvancedPageProc",,,,,,,,,,,,,,,,,,,,,2,
Class,"AnonymousDerivedProtectedOnDerived",0,0,1,0,,0,0,,1,0,0,0,0,1,1,0,0,0,1,0,,1
Protected Function,"AnonymousDerivedProtectedOnDerived::~AnonymousDerivedProtectedOnDerived",,,,,,,,,,,,,,,,,,,,,2,
Class,"AnonymousDerivedProtectedToPublicInImpl",0,0,1,0,,0,0,,2,0,0,0,0,2,2,0,0,0,0,2,,1
Public Function,"AnonymousDerivedProtectedToPublicInImpl::AnonymousDerivedProtectedToPublicInImpl",,,,,,,,,,,,,,,,,,,,,2,
Public Virtual Function,"AnonymousDerivedProtectedToPublicInImpl::~AnonymousDerivedProtectedToPublicInImpl",,,,,,,,,,,,,,,,,,,,,2,
Function,"BMPtoUTF8",,,,,,,,,,,,,,,,,,,,,5,
Class,"Baz",1,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0
Class,"BlinkGCPluginAction",5,0,1,0,,0,0,,3,1,1,0,0,3,3,0,0,0,2,1,,1
Public Function,"BlinkGCPluginAction::BlinkGCPluginAction",,,,,,,,,,,,,,,,,,,,,3,
Protected Virtual Function,"BlinkGCPluginAction::CreateASTConsumer",,,,,,,,,,,,,,,,,,,,,2,
Protected Virtual Function,"BlinkGCPluginAction::ParseArgs",,,,,,,,,,,,,,,,,,,,,6,
Class,"BlinkGCPluginConsumer",21,92,1,0,,0,0,,48,38,0,0,38,48,48,0,0,0,0,48,,1
Public Function,"BlinkGCPluginConsumer::BlinkGCPluginConsumer",,,,,,,,,,,,,,,,,,,,,45,
Public Function,"BlinkGCPluginConsumer::CheckClass",,,,,,,,,,,,,,,,,,,,,29,
Public Function,"BlinkGCPluginConsumer::CheckDispatch",,,,,,,,,,,,,,,,,,,,,19,
Public Function,"BlinkGCPluginConsumer::CheckFinalization",,,,,,,,,,,,,,,,,,,,,23,
Public Function,"BlinkGCPluginConsumer::CheckLeftMostDerived",,,,,,,,,,,,,,,,,,,,,9,
Public Function,"BlinkGCPluginConsumer::CheckRecord",,,,,,,,,,,,,,,,,,,,,10,
Public Function,"BlinkGCPluginConsumer::CheckTraceMethod",,,,,,,,,,,,,,,,,,,,,15,
Public Function,"BlinkGCPluginConsumer::CheckTraceOrDispatchMethod",,,,,,,,,,,,,,,,,,,,,3,
Public Function,"BlinkGCPluginConsumer::CheckTracingMethod",,,,,,,,,,,,,,,,,,,,,10,
Public Function,"BlinkGCPluginConsumer::DumpClass",,,,,,,,,,,,,,,,,,,,,18,
Public Function,"BlinkGCPluginConsumer::GetFilename",,,,,,,,,,,,,,,,,,,,,7,
Public Function,"BlinkGCPluginConsumer::GetLocString",,,,,,,,,,,,,,,,,,,,,9,
Public Function,"BlinkGCPluginConsumer::HandleTranslationUnit",,,,,,,,,,,,,,,,,,,,,20,
Public Function,"BlinkGCPluginConsumer::InCheckedNamespace",,,,,,,,,,,,,,,,,,,,,10,
Public Function,"BlinkGCPluginConsumer::InIgnoredDirectory",,,,,,,,,,,,,,,,,,,,,7,
Public Function,"BlinkGCPluginConsumer::IsIgnored",,,,,,,,,,,,,,,,,,,,,4,
Public Function,"BlinkGCPluginConsumer::IsIgnoredClass",,,,,,,,,,,,,,,,,,,,,6,
Public Function,"BlinkGCPluginConsumer::NoteBaseRequiresFinalization",,,,,,,,,,,,,,,,,,,,,6,
Public Function,"BlinkGCPluginConsumer::NoteBaseRequiresTracing",,,,,,,,,,,,,,,,,,,,,6,
Public Function,"BlinkGCPluginConsumer::NoteField",,,,,,,,,,,,,,,,,,,,,1,
Public Function,"BlinkGCPluginConsumer::NoteField",,,,,,,,,,,,,,,,,,,,,3,
Public Function,"BlinkGCPluginConsumer::NoteFieldContainsGCRoot",,,,,,,,,,,,,,,,,,,,,1,
Public Function,"BlinkGCPluginConsumer::NoteFieldRequiresTracing",,,,,,,,,,,,,,,,,,,,,1,
Public Function,"BlinkGCPluginConsumer::NoteManualDispatchMethod",,,,,,,,,,,,,,,,,,,,,3,
Public Function,"BlinkGCPluginConsumer::NoteOverriddenNonVirtualTrace",,,,,,,,,,,,,,,,,,,,,3,
Public Function,"BlinkGCPluginConsumer::NotePartObjectContainsGCRoot",,,,,,,,,,,,,,,,,,,,,5,
Public Function,"BlinkGCPluginConsumer::NoteUserDeclaredDestructor",,,,,,,,,,,,,,,,,,,,,3,
Public Function,"BlinkGCPluginConsumer::NoteUserDeclaredFinalizer",,,,,,,,,,,,,,,,,,,,,3,
Public Function,"BlinkGCPluginConsumer::ReportBaseRequiresTracing",,,,,,,,,,,,,,,,,,,,,4,
Public Function,"BlinkGCPluginConsumer::ReportClassContainsGCRoots",,,,,,,,,,,,,,,,,,,,,12,
Public Function,"BlinkGCPluginConsumer::ReportClassContainsInvalidFields",,,,,,,,,,,,,,,,,,,,,13,
Public Function,"BlinkGCPluginConsumer::ReportClassDeclaresPureVirtualTrace",,,,,,,,,,,,,,,,,,,,,4,
Public Function,"BlinkGCPluginConsumer::ReportClassMustLeftMostlyDeriveGC",,,,,,,,,,,,,,,,,,,,,4,
Public Function,"BlinkGCPluginConsumer::ReportClassOverridesNew",,,,,,,,,,,,,,,,,,,,,4,
Public Function,"BlinkGCPluginConsumer::ReportClassRequiresFinalization",,,,,,,,,,,,,,,,,,,,,4,
Public Function,"BlinkGCPluginConsumer::ReportClassRequiresTraceMethod",,,,,,,,,,,,,,,,,,,,,14,
Public Function,"BlinkGCPluginConsumer::ReportDerivesNonStackAllocated",,,,,,,,,,,,,,,,,,,,,6,
Public Function,"BlinkGCPluginConsumer::ReportFieldsRequireTracing",,,,,,,,,,,,,,,,,,,,,10,
Public Function,"BlinkGCPluginConsumer::ReportFinalizerAccessesFinalizedFields",,,,,,,,,,,,,,,,,,,,,8,
Public Function,"BlinkGCPluginConsumer::ReportMissingDispatch",,,,,,,,,,,,,,,,,,,,,4,
Public Function,"BlinkGCPluginConsumer::ReportMissingDispatchMethod",,,,,,,,,,,,,,,,,,,,,4,
Public Function,"BlinkGCPluginConsumer::ReportMissingFinalizeDispatch",,,,,,,,,,,,,,,,,,,,,1,
